Roll Day,Coverage Ratio
2023-03-31,0.39576439718270967
2023-04-06,0.3249750397095531
2023-04-14,0.39873221930672564
2023-04-21,0.4352036199095024
2023-04-28,0.30806369696328434
2023-05-05,0.36543648785425104
2023-05-12,0.4441390473254201
2023-05-19,0.4174273504273506
2023-05-26,0.3528309132365295
2023-06-02,0.44396620720320157
2023-06-09,0.385165749392039
2023-06-16,0.49712669683257926
2023-06-23,0.5218499397694027
2023-06-30,0.6503793753929993
2023-07-07,0.4157434994582882
2023-07-14,0.5746318289786224
2023-07-21,0.44757635746606345
2023-07-28,0.46685739308130203
2023-08-04,0.33415277777777785
2023-08-11,0.36358391608391605
2023-08-18,0.3206527442543814
2023-08-25,0.3433433667781494
2023-09-01,0.6513363580119612
2023-09-08,0.4703831070889896
2023-09-15,0.43249581939799336
2023-09-22,0.3077883338441108
2023-09-29,0.30207550979204534
2023-10-06,0.30553602276191455
2023-10-13,0.33097742713127326
2023-10-20,0.2813828974995229
2023-10-27,0.23701541759419575
2023-11-03,0.37997377622377637
2023-11-10,0.40905437665782496
2023-11-17,0.5541851071303127
2023-11-24,0.6334923474458359
2023-12-01,0.498402605459057
2023-12-08,0.4936254980079683
2023-12-15,0.49262408157145005
2023-12-22,0.5100846153846155
2023-12-29,0.5843291183702144
2024-01-05,0.3918459145830841
2024-01-12,0.5887014820042344
2024-01-19,0.506374269005848
2024-01-26,0.415929537973912
2024-02-02,0.48310065614965814
2024-02-09,0.518994082840237
2024-02-16,0.4944244909502262
2024-02-23,0.47640712945591
2024-03-01,0.4819371727748692
2024-03-08,0.36065646395489326
2024-03-15,0.3327561771561772
2024-03-22,0.6407569371268002
2024-03-28,0.5244936255550782
2024-04-05,0.3542571261226084
2024-04-12,0.2862362923237014
2024-04-19,0.3040189457065171
2024-04-26,0.35963004144344496
2024-05-03,0.42683720930232566
2024-05-10,0.4236439693237277
2024-05-17,0.5399402680652683
2024-05-24,0.7144939271255063
2024-05-31,0.47645715023231794
2024-06-07,0.4437405033238367
2024-06-14,0.6812730858884704
2024-06-21,0.4496897121283624
2024-06-28,0.478826043237808
2024-07-05,0.5304659106435305
2024-07-12,0.5000548539354512
2024-07-19,0.3727742749054225
2024-07-26,0.2865689149560119
2024-08-02,0.22382695307812314
2024-08-09,0.2528586919688241
2024-08-16,0.42761406215560954
2024-08-23,0.41692201737656287
2024-08-30,0.45166666666666666
2024-09-06,0.2609534322180064
2024-09-13,0.42864131619089135
2024-09-20,0.5533106134371959
2024-09-27,0.3536949602122017
2024-10-04,0.32927181676381245
2024-10-11,0.47285081585081595
2024-10-18,0.4933843742464433
2024-10-25,0.3559255356515631
2024-11-01,0.20664185277088506
2024-11-08,0.4786066979083325
2024-11-15,0.32923157218564336
2024-11-22,0.550960877610362
2024-11-29,0.5093406593406593
2024-12-06,0.5613761709988125
2024-12-13,0.6966677647833965
2024-12-20,0.3988866396761135
2024-12-27,0.43179245283018863
2025-01-03,0.3901374635156765
2025-01-10,0.2915779276693456
2025-01-17,0.4109499950879262
2025-01-24,0.4128227762149579
2025-01-31,0.3164618389423079
2025-02-07,0.3324681793027117
2025-02-14,0.5194620253164558
2025-02-21,0.2944800504873432
2025-02-28,0.3047076923076924
2025-03-07,0.20578020519626358
2025-03-14,0.26677072047670647
2025-03-21,0.25933521644879465
2025-03-28,0.22530236329935127
2025-04-04,0.09327180190395823
2025-04-11,0.124192723043695
2025-04-17,0.1607779571534535
2025-04-25,0.20547363931979323
2025-05-02,0.2453203067029433
2025-05-09,0.2417465271403219
2025-05-16,0.4009446693657221
2025-05-23,0.2868707097869932
2025-05-30,0.3066317354143441
2025-06-06,0.38360742705570294
2025-06-13,0.32668855534709207
2025-06-20,0.30216895474685845
